"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1202","RT @goth_joji: Hillary was in court for hundreds of thousands of deleted pedo emails and a videos found on a laptop by the NYPD that showed…",FALSE,0,NA,2020-06-12 04:27:12,FALSE,NA,"1271297979471859713",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","khey_ana",726,TRUE,FALSE,NA,NA
"1203","@lennerjr17 @AndreaS00280412 @LivrePetista @correio Pizza que é um dos símbolos da pedofilia #PIZZAGATE",FALSE,1,"oluquinha_meu",2020-06-12 04:27:03,FALSE,"1271297783149060096","1271297943593783296","773321232838172672","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oluquinha_meu",0,FALSE,FALSE,NA,NA
"1204","RT @GrimmSaxon: @realTrumpForce @KristySwansonXO TAKE THE GLOVES OFF!
Round up the insurrectionists and open the books on #OBAMAGATE &amp; #PIZ…",FALSE,0,NA,2020-06-12 04:27:00,FALSE,NA,"1271297927290523648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoshHor01368354",11,TRUE,FALSE,NA,NA
"1205","RT @takneeah: next ep also talks about THE QUEEN  #Rothschild 
#PrinceAndrew 
#EpsteinBlackBook 
#pedogate
#pizzagate https://t.co/DURdBSar…",FALSE,0,NA,2020-06-12 04:26:40,FALSE,NA,"1271297846243819521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Anon01333472",20,TRUE,FALSE,NA,NA
"1206","RT @MazurikL: HRC lost her appeal &amp; WILL testify in September! 675,000 emails on Anthony Weiner’s laptop include the Clinton Foundation &amp; t…",FALSE,0,NA,2020-06-12 04:26:40,FALSE,NA,"1271297846000656384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","D4USAandISRAEL",1579,TRUE,FALSE,NA,NA
"1207","@RiConfessori Sou #QAnon ! Vc acha que tenho tempo a perder? Perdi a pouco tempo meu twitter original! Advogada no… https://t.co/50VO3EeFEs",FALSE,0,"RiConfessori",2020-06-12 04:26:27,TRUE,"1270076778472566784","1271297792041005059","70038766","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeopoldinadeBr1",0,FALSE,FALSE,NA,NA
"1208","I hope they burn 🔥 forever in HELL @johnpodesta @HillaryClinton @BarackObama @JoeBiden #satanists #cannibals… https://t.co/hdTsYOnjXP",FALSE,0,NA,2020-06-12 04:26:24,TRUE,NA,"1271297777058770945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brownieswithj",0,FALSE,FALSE,NA,NA
"1209","RT @kirie50468330: #JustinBieber In his video ""Yummy"" he exposed the situation of #PizzaGate , an elite of child trafficking and pedophilia…",FALSE,0,NA,2020-06-12 04:26:21,FALSE,NA,"1271297764928950274",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bratzdoll101",950,TRUE,FALSE,NA,NA
"1210","RT @ErickRuizL: Serie: Good doctor
Temporada 3, capitulo 4, min 12
😱🤬
#PizzaGate #PizzaGateIsReal https://t.co/zRu6u5XGz1",FALSE,0,NA,2020-06-12 04:26:14,FALSE,NA,"1271297737674416128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnaGabr41064836",27,TRUE,FALSE,NA,NA
"1211","RT @KLaEyez: Since #Pizzagate is trending again. Let me post this! (Yes, it's real. I got it from his Twitter page, before it was deleted)…",FALSE,0,NA,2020-06-12 04:26:06,FALSE,NA,"1271297703193042944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zearnestly",632,TRUE,FALSE,NA,NA
"1212","RT @QAnonInfo: Brother and sister seen here talking about child sacrifice and eating babies flesh.

The media quickly buried the story. 

#…",FALSE,0,NA,2020-06-12 04:25:56,FALSE,NA,"1271297662139224069",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pmnailgne",27,TRUE,FALSE,NA,NA
"1213","@LiloVLOG PC Siqueira 
#Pizzagate 🍕🍕
#QAnonBR #PEDOGATE #DarkToLight #WWG1WGA
👠👠🌽🌽 https://t.co/vQpIXy9Cio",FALSE,2,"LiloVLOG",2020-06-12 04:25:44,FALSE,"1271256119235706880","1271297611597860866","44093823","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rodoxfrugoli",1,FALSE,FALSE,NA,NA
"1214","RT @VinTalkToEm: Ricky is the goat. Legit to their faces. He wasn’t saying this for no reason. Look how uncomfortable they all look sickos…",FALSE,0,NA,2020-06-12 04:25:43,FALSE,NA,"1271297604413009921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MicahJareo1",29,TRUE,FALSE,NA,NA
"1215","RT @SaRaAshcraft: I was a victim of #pizzagate.
My father pimped me to @TomHanks &amp; others.
He took me to an occult #RitualAbuse/#MindContro…",FALSE,0,NA,2020-06-12 04:25:42,FALSE,NA,"1271297602785439744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dario__17",2297,TRUE,FALSE,NA,NA
"1216","RT @dqdger: @Ih8uJ #PEDOWOOD #Pizzagate #FollowTheWhiteRabbit #Adrenochrome #SaturnWorship #Childtrafficking #SeductionOfYouthThruGlamour #…",FALSE,0,NA,2020-06-12 04:25:36,FALSE,NA,"1271297577909055488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MM58598033",4,TRUE,FALSE,NA,NA
"1217","RT @Lasella73: Once you have taken the red pill.There’s no going back. It’s in plain sight! Video of Tom Hanks saying lets get a room full…",FALSE,0,NA,2020-06-12 04:25:36,FALSE,NA,"1271297577632149504",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Anon01333472",97,TRUE,FALSE,NA,NA
"1218","RT @QAnonInfo: ⚠️ MUST WATCH ⚠️

This is a real judicial hearing. It's no longer a conspiracy theory.

Robert David Steele (ex CIA) opens i…",FALSE,0,NA,2020-06-12 04:24:51,FALSE,NA,"1271297389580689408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Breedoll_",95,TRUE,FALSE,NA,NA
